Year,Period,Label,Date,Value
2021,M11,2021 Nov,2021-11-01,4.1
2021,M12,2021 Dec,2021-12-01,3.9
2022,M01,2022 Jan,2022-01-01,4
2022,M02,2022 Feb,2022-02-01,3.8
2022,M03,2022 Mar,2022-03-01,3.6
2022,M04,2022 Apr,2022-04-01,3.7
2022,M05,2022 May,2022-05-01,3.6
2022,M06,2022 Jun,2022-06-01,3.6
2022,M07,2022 Jul,2022-07-01,3.5
2022,M08,2022 Aug,2022-08-01,3.6
2022,M09,2022 Sep,2022-09-01,3.5
2022,M10,2022 Oct,2022-10-01,3.6
2022,M11,2022 Nov,2022-11-01,3.6
2022,M12,2022 Dec,2022-12-01,3.5
2023,M01,2023 Jan,2023-01-01,3.4
2023,M02,2023 Feb,2023-02-01,3.6
2023,M03,2023 Mar,2023-03-01,3.5
2023,M04,2023 Apr,2023-04-01,3.4
2023,M05,2023 May,2023-05-01,3.7
2023,M06,2023 Jun,2023-06-01,3.6
2023,M07,2023 Jul,2023-07-01,3.5
2023,M08,2023 Aug,2023-08-01,3.8
2023,M09,2023 Sep,2023-09-01,3.8
2023,M10,2023 Oct,2023-10-01,3.8
2023,M11,2023 Nov,2023-11-01,3.7
2023,M12,2023 Dec,2023-12-01,3.7
2024,M01,2024 Jan,2024-01-01,3.7
2024,M02,2024 Feb,2024-02-01,3.9
2024,M03,2024 Mar,2024-03-01,3.8
2024,M04,2024 Apr,2024-04-01,3.9
2024,M05,2024 May,2024-05-01,4
2024,M06,2024 Jun,2024-06-01,4.1
2024,M07,2024 Jul,2024-07-01,4.3
2024,M08,2024 Aug,2024-08-01,4.2
